Address	Length	Type	String
.rdata:00007FFA4FAE9540	00000CDF	C	..-         -XXXXXXX-    X    -           X           -XXXXXXX          -          XXXXXXX-     XX          - XX       XX ..-         -X.....X-   X.X   -          X.X          -X.....X          -          X.....X-    X..X         -X..X     X..X---         -XXX.XXX-  X...X  -         X...X         -X....X           -           X....X-    X..X         -X...X   X...XX           -  X.X  - X.....X -        X.....X        -X...X            -            X...X-    X..X         - X...X X...X XX          -  X.X  -X.......X-       X.......X       -X..X.X           -           X.X..X-    X..X         -  X...X...X  X.X         -  X.X  -XXXX.XXXX-       XXXX.XXXX       -X.X X.X          -          X.X X.X-    X..XXX       -   X.....X   X..X        -  X.X  -   X.X   -          X.X          -XX   X.X         -         X.X   XX-    X..X..XXX    -    X...X    X...X       -  X.X  -   X.X   -    XX    X.X    XX    -      X.X        -        X.X      -    X..X..X..XX  -     X.X     X....X      -  X.X  -   X.X   -   X.X    X.X   
.rdata:00007FFA4FAEA558	00000011	C	map/set too long
.rdata:00007FFA4FAEA570	0000000F	C	*Missing Text*
.rdata:00007FFA4FAEA580	0000000A	C	#COLLAPSE
.rdata:00007FFA4FAEA590	0000000A	C	imgui.ini
.rdata:00007FFA4FAEA5A0	0000000E	C	imgui_log.txt
.rdata:00007FFA4FAEA5B8	00000008	C	Unknown
.rdata:00007FFA4FAEA5C0	0000001E	C	Dear ImGui 1.89.8 WIP (18974)
.rdata:00007FFA4FAEA5E0	0000001D	C	Size column to fit###SizeOne
.rdata:00007FFA4FAEA600	00000022	C	Size all columns to fit###SizeAll
.rdata:00007FFA4FAEA628	00000026	C	Size all columns to default###SizeAll
.rdata:00007FFA4FAEA650	00000019	C	Reset order###ResetOrder
.rdata:00007FFA4FAEA670	00000010	C	(Main menu bar)
.rdata:00007FFA4FAEA680	00000008	C	(Popup)
.rdata:00007FFA4FAEA688	0000000B	C	(Untitled)
.rdata:00007FFA4FAEA698	0000001A	C	Hide tab bar###HideTabBar
.rdata:00007FFA4FAEA6B4	00000007	C	Window
.rdata:00007FFA4FAEA6BC	00000006	C	#MOVE
.rdata:00007FFA4FAEA6D0	00000023	C	SetActiveID() cancel MovingWindow\n
.rdata:00007FFA4FAEA700	00000044	C	SetActiveID() old:0x%08X (window \"%s\") -> new:0x%08X (window \"%s\")\n
.rdata:00007FFA4FAEA748	0000000D	C	##Background
.rdata:00007FFA4FAEA758	0000000D	C	##Foreground
.rdata:00007FFA4FAEA770	00000044	C	NewFrame(): ClearActiveID() because it isn't marked alive anymore!\n
.rdata:00007FFA4FAEA7C0	00000043	C	(Auto-disabled ImGuiDebugLogFlags_EventClipper to avoid spamming)\n
.rdata:00007FFA4FAEA808	0000000F	C	Debug##Default
.rdata:00007FFA4FAEA820	0000004F	C	[io] Calling io.SetPlatformImeDataFn(): WantVisible: %d, InputPos (%.2f,%.2f)\n
.rdata:00007FFA4FAEA878	0000000B	C	%s/%s_%08X
.rdata:00007FFA4FAEA888	00000008	C	%s/%08X
.rdata:00007FFA4FAEA891	00000007	C	#Child
.rdata:00007FFA4FAEA898	00000008	C	#RESIZE
.rdata:00007FFA4FAEA8A0	0000000A	C	_IMWINDOW
.rdata:00007FFA4FAEA8B0	00000008	C	#UNHIDE
.rdata:00007FFA4FAEA8B8	00000007	C	#CLOSE
.rdata:00007FFA4FAEA8C0	00000007	C	<NULL>
.rdata:00007FFA4FAEA8D0	00000041	C	[focus] FocusWindow(\"%s\", UnlessBelowModal): prevented by \"%s\".\n
.rdata:00007FFA4FAEA918	0000000A	C	LeftArrow
.rdata:00007FFA4FAEA928	0000000B	C	RightArrow
.rdata:00007FFA4FAEA938	00000008	C	UpArrow
.rdata:00007FFA4FAEA940	0000000A	C	DownArrow
.rdata:00007FFA4FAEA94C	00000007	C	PageUp
.rdata:00007FFA4FAEA958	00000009	C	PageDown
.rdata:00007FFA4FAEA970	00000007	C	Insert
.rdata:00007FFA4FAEA978	00000007	C	Delete
.rdata:00007FFA4FAEA980	0000000A	C	Backspace
.rdata:00007FFA4FAEA98C	00000006	C	Space
.rdata:00007FFA4FAEA994	00000006	C	Enter
.rdata:00007FFA4FAEA99C	00000007	C	Escape
.rdata:00007FFA4FAEA9A8	00000009	C	LeftCtrl
.rdata:00007FFA4FAEA9B8	0000000A	C	LeftShift
.rdata:00007FFA4FAEA9C8	00000008	C	LeftAlt
.rdata:00007FFA4FAEA9D0	0000000A	C	LeftSuper
.rdata:00007FFA4FAEA9E0	0000000A	C	RightCtrl
.rdata:00007FFA4FAEA9F0	0000000B	C	RightShift
.rdata:00007FFA4FAEAA00	00000009	C	RightAlt
.rdata:00007FFA4FAEAA10	0000000B	C	RightSuper
.rdata:00007FFA4FAEAA28	0000000B	C	Apostrophe
.rdata:00007FFA4FAEAA34	00000006	C	Comma
.rdata:00007FFA4FAEAA3C	00000006	C	Minus
.rdata:00007FFA4FAEAA44	00000007	C	Period
.rdata:00007FFA4FAEAA4C	00000006	C	Slash
.rdata:00007FFA4FAEAA58	0000000A	C	Semicolon
.rdata:00007FFA4FAEAA64	00000006	C	Equal
.rdata:00007FFA4FAEAA70	0000000C	C	LeftBracket
.rdata:00007FFA4FAEAA80	0000000A	C	Backslash
.rdata:00007FFA4FAEAA90	0000000D	C	RightBracket
.rdata:00007FFA4FAEAAA0	0000000C	C	GraveAccent
.rdata:00007FFA4FAEAAB0	00000009	C	CapsLock
.rdata:00007FFA4FAEAAC0	0000000B	C	ScrollLock
.rdata:00007FFA4FAEAAD0	00000008	C	NumLock
.rdata:00007FFA4FAEAAD8	0000000C	C	PrintScreen
.rdata:00007FFA4FAEAAE4	00000006	C	Pause
.rdata:00007FFA4FAEAAF0	00000008	C	Keypad0
.rdata:00007FFA4FAEAAF8	00000008	C	Keypad1
.rdata:00007FFA4FAEAB00	00000008	C	Keypad2
.rdata:00007FFA4FAEAB08	00000008	C	Keypad3
.rdata:00007FFA4FAEAB10	00000008	C	Keypad4
.rdata:00007FFA4FAEAB18	00000008	C	Keypad5
.rdata:00007FFA4FAEAB20	00000008	C	Keypad6
.rdata:00007FFA4FAEAB28	00000008	C	Keypad7
.rdata:00007FFA4FAEAB30	00000008	C	Keypad8
.rdata:00007FFA4FAEAB38	00000008	C	Keypad9
.rdata:00007FFA4FAEAB40	0000000E	C	KeypadDecimal
.rdata:00007FFA4FAEAB50	0000000D	C	KeypadDivide
.rdata:00007FFA4FAEAB60	0000000F	C	KeypadMultiply
.rdata:00007FFA4FAEAB70	0000000F	C	KeypadSubtract
.rdata:00007FFA4FAEAB80	0000000A	C	KeypadAdd
.rdata:00007FFA4FAEAB90	0000000C	C	KeypadEnter
.rdata:00007FFA4FAEABA0	0000000C	C	KeypadEqual
.rdata:00007FFA4FAEABB0	0000000D	C	GamepadStart
.rdata:00007FFA4FAEABC0	0000000C	C	GamepadBack
.rdata:00007FFA4FAEABD0	00000010	C	GamepadFaceLeft
.rdata:00007FFA4FAEABE0	00000011	C	GamepadFaceRight
.rdata:00007FFA4FAEABF8	0000000E	C	GamepadFaceUp
.rdata:00007FFA4FAEAC08	00000010	C	GamepadFaceDown
.rdata:00007FFA4FAEAC18	00000010	C	GamepadDpadLeft
.rdata:00007FFA4FAEAC28	00000011	C	GamepadDpadRight
.rdata:00007FFA4FAEAC40	0000000E	C	GamepadDpadUp
.rdata:00007FFA4FAEAC50	00000010	C	GamepadDpadDown
.rdata:00007FFA4FAEAC60	0000000A	C	GamepadL1
.rdata:00007FFA4FAEAC70	0000000A	C	GamepadR1
.rdata:00007FFA4FAEAC80	0000000A	C	GamepadL2
.rdata:00007FFA4FAEAC90	0000000A	C	GamepadR2
.rdata:00007FFA4FAEACA0	0000000A	C	GamepadL3
.rdata:00007FFA4FAEACB0	0000000A	C	GamepadR3
.rdata:00007FFA4FAEACC0	00000012	C	GamepadLStickLeft
.rdata:00007FFA4FAEACD8	00000013	C	GamepadLStickRight
.rdata:00007FFA4FAEACF0	00000010	C	GamepadLStickUp
.rdata:00007FFA4FAEAD00	00000012	C	GamepadLStickDown
.rdata:00007FFA4FAEAD18	00000012	C	GamepadRStickLeft
.rdata:00007FFA4FAEAD30	00000013	C	GamepadRStickRight
.rdata:00007FFA4FAEAD48	00000010	C	GamepadRStickUp
.rdata:00007FFA4FAEAD58	00000012	C	GamepadRStickDown
.rdata:00007FFA4FAEAD70	0000000A	C	MouseLeft
.rdata:00007FFA4FAEAD80	0000000B	C	MouseRight
.rdata:00007FFA4FAEAD90	0000000C	C	MouseMiddle
.rdata:00007FFA4FAEADA0	00000008	C	MouseX1
.rdata:00007FFA4FAEADA8	00000008	C	MouseX2
.rdata:00007FFA4FAEADB0	0000000C	C	MouseWheelX
.rdata:00007FFA4FAEADC0	0000000C	C	MouseWheelY
.rdata:00007FFA4FAEADD0	00000008	C	ModCtrl
.rdata:00007FFA4FAEADD8	00000009	C	ModShift
.rdata:00007FFA4FAEADE4	00000007	C	ModAlt
.rdata:00007FFA4FAEADF0	00000009	C	ModSuper
.rdata:00007FFA4FAEAE10	00000020	C	[io] LockWheelingWindow() \"%s\"\n
.rdata:00007FFA4FAEAE30	00000006	C	Mouse
.rdata:00007FFA4FAEAE38	0000000C	C	TouchScreen
.rdata:00007FFA4FAEAE48	00000028	C	[io] %s: MousePos (-FLT_MAX, -FLT_MAX)\n
.rdata:00007FFA4FAEAE70	00000025	C	[io] %s: MousePos (%.1f, %.1f) (%s)\n
.rdata:00007FFA4FAEAEA8	00000021	C	[io] %s: MouseButton %d %s (%s)\n
.rdata:00007FFA4FAEAED0	00000027	C	[io] %s: MouseWheel (%.3f, %.3f) (%s)\n
.rdata:00007FFA4FAEAEF8	00000021	C	[io] %s: MouseViewport (0x%08X)\n
.rdata:00007FFA4FAEAF20	00000016	C	[io] %s: Key \"%s\" %s\n
.rdata:00007FFA4FAEAF38	0000001C	C	[io] %s: Text: %c (U+%08X)\n
.rdata:00007FFA4FAEAF58	00000018	C	[io] %s: AppFocused %d\n
.rdata:00007FFA4FAEAF70	0000000A	C	Processed
.rdata:00007FFA4FAEAF80	0000000A	C	Remaining
.rdata:00007FFA4FAEAF90	0000000F	C	##Tooltip_%02d
